verse_id,surah_id,begin_verse,order_in_quraan,reverse_index,order_in_surah,page_no,letters_count,weight_on_page
1,1,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ,1,6230,1,1,19,0.132867
2,1,ٱلْحَمْدُ لِلَّهِ رَبِّ,2,6231,2,1,18,0.125874
3,1,ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,3,6232,3,1,12,0.083916
4,1,مَـٰلِكِ يَوْمِ ٱلدِّينِ,4,6233,4,1,12,0.083916
5,1,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ,5,6234,5,1,19,0.132867
6,1,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ,6,6235,6,1,19,0.132867
7,1,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ,7,6236,7,1,44,0.307692
8,2,بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ,8,5944,1,2,22,0.121547
9,2,ذَٰلِكَ ٱلْكِتَـٰبُ لَا,9,5945,2,2,27,0.149171
10,2,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ,10,5946,3,2,47,0.259669
11,2,وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ,11,5947,4,2,52,0.287293
12,2,أُو۟لَـٰٓئِكَ عَلَىٰ هُدًى,12,5948,5,2,33,0.18232
13,2,إِنَّ ٱلَّذِينَ كَفَرُوا۟,13,5949,6,3,47,0.083929
14,2,خَتَمَ ٱللَّهُ عَلَىٰ,14,5950,7,3,53,0.094643
15,2,وَمِنَ ٱلنَّاسِ مَن,15,5951,8,3,47,0.083929
16,2,يُخَـٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ,16,5952,9,3,49,0.0875
17,2,فِى قُلُوبِهِم مَّرَضٌ,17,5953,10,3,51,0.091071
18,2,وَإِذَا قِيلَ لَهُمْ,18,5954,11,3,43,0.076786
19,2,أَلَآ إِنَّهُمْ هُمُ,19,5955,12,3,29,0.051786
20,2,وَإِذَا قِيلَ لَهُمْ,20,5956,13,3,77,0.1375
21,2,وَإِذَا لَقُوا۟ ٱلَّذِينَ,21,5957,14,3,73,0.130357
22,2,ٱللَّهُ يَسْتَهْزِئُ بِهِمْ,22,5958,15,3,34,0.060714
23,2,أُو۟لَـٰٓئِكَ ٱلَّذِينَ ٱشْتَرَوُا۟,23,5959,16,3,57,0.101786
24,2,مَثَلُهُمْ كَمَثَلِ ٱلَّذِى,24,5960,17,4,72,0.125217
25,2,صُمٌّۢ بُكْمٌ عُمْىٌ,25,5961,18,4,19,0.033043
26,2,أَوْ كَصَيِّبٍ مِّنَ,26,5962,19,4,86,0.149565
27,2,يَكَادُ ٱلْبَرْقُ يَخْطَفُ,27,5963,20,4,102,0.177391
28,2,يَـٰٓأَيُّهَا ٱلنَّاسُ ٱعْبُدُوا۟,28,5964,21,4,53,0.092174
29,2,ٱلَّذِى جَعَلَ لَكُمُ,29,5965,22,4,99,0.172174
30,2,وَإِن كُنتُمْ فِى,30,5966,23,4,78,0.135652
31,2,فَإِن لَّمْ تَفْعَلُوا۟,31,5967,24,4,66,0.114783
32,2,وَبَشِّرِ ٱلَّذِينَ ءَامَنُوا۟,32,5968,25,5,145,0.283203
33,2,۞ إِنَّ ٱللَّهَ,33,5969,26,5,155,0.302734
34,2,ٱلَّذِينَ يَنقُضُونَ عَهْدَ,34,5970,27,5,82,0.160156
35,2,كَيْفَ تَكْفُرُونَ بِٱللَّهِ,35,5971,28,5,60,0.117188
36,2,هُوَ ٱلَّذِى خَلَقَ,36,5972,29,5,70,0.136719
37,2,وَإِذْ قَالَ رَبُّكَ,37,5973,30,6,111,0.184385
38,2,وَعَلَّمَ ءَادَمَ ٱلْأَسْمَآءَ,38,5974,31,6,70,0.116279
39,2,قَالُوا۟ سُبْحَـٰنَكَ لَا,39,5975,32,6,48,0.079734
40,2,قَالَ يَـٰٓـَٔادَمُ أَنۢبِئْهُم,40,5976,33,6,101,0.167774
41,2,وَإِذْ قُلْنَا لِلْمَلَـٰٓئِكَةِ,41,5977,34,6,63,0.104651
42,2,وَقُلْنَا يَـٰٓـَٔادَمُ ٱسْكُنْ,42,5978,35,6,80,0.13289
43,2,فَأَزَلَّهُمَا ٱلشَّيْطَـٰنُ عَنْهَا,43,5979,36,6,86,0.142857
44,2,فَتَلَقَّىٰٓ ءَادَمُ مِن,44,5980,37,6,43,0.071429
45,2,قُلْنَا ٱهْبِطُوا۟ مِنْهَا,45,5981,38,7,68,0.110211
46,2,وَٱلَّذِينَ كَفَرُوا۟ وَكَذَّبُوا۟,46,5982,39,7,51,0.082658
47,2,يَـٰبَنِىٓ إِسْرَٰٓءِيلَ ٱذْكُرُوا۟,47,5983,40,7,69,0.111831
48,2,وَءَامِنُوا۟ بِمَآ أَنزَلْتُ,48,5984,41,7,79,0.128039
49,2,وَلَا تَلْبِسُوا۟ ٱلْحَقَّ,49,5985,42,7,42,0.068071
